slug,file,status,reason,notes
api-latency,/home/uc/Projects/calcdomain2/sito_modificato/api-latency.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
apparent-absolute-magnitude,/home/uc/Projects/calcdomain2/sito_modificato/apparent-absolute-magnitude.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
aquarium-stocking,/home/uc/Projects/calcdomain2/sito_modificato/aquarium-stocking.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
arc-length-calculator,/home/uc/Projects/calcdomain2/sito_modificato/arc-length-calculator.html,WARN,MISSING_SOURCES,"Injected audit spine into article ; Missing sources (review needed)"
area-converter,/home/uc/Projects/calcdomain2/sito_modificato/area-converter.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
area,/home/uc/Projects/calcdomain2/sito_modificato/area.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
arithmetic-sequence,/home/uc/Projects/calcdomain2/sito_modificato/arithmetic-sequence.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
arrhenius-equation,/home/uc/Projects/calcdomain2/sito_modificato/arrhenius-equation.html,WARN,FORBIDDEN_DETECTED,"Injected audit spine into main ; Forbidden detected: OmniCalculator"
atbash-cipher,/home/uc/Projects/calcdomain2/sito_modificato/atbash-cipher.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
atm-to-psi,/home/uc/Projects/calcdomain2/sito_modificato/atm-to-psi.html,WARN,MISSING_SOURCES,"Injected audit spine into article ; Missing sources (review needed)"
atmospheres-to-kpa-converter,/home/uc/Projects/calcdomain2/sito_modificato/atmospheres-to-kpa-converter.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
atmospheres-to-psi-converter,/home/uc/Projects/calcdomain2/sito_modificato/atmospheres-to-psi-converter.html,WARN,MISSING_SOURCES,"Injected audit spine into main ; Missing sources (review needed)"
author,/home/uc/Projects/calcdomain2/sito_modificato/author.html,WARN,MISSING_FORMULAS,"Injected audit spine into article ; Missing formulas (review needed)"
